Wavelength (nm),Sphere 2 |α2(λ)|
500.00000000000006,5.884738186537751e-21
501.25313283208027,5.863675877704232e-21
502.5062656641605,5.842749724753493e-21
503.75939849624064,5.8219581033787975e-21
505.01253132832085,5.801299444438928e-21
506.265664160401,5.780772230905359e-21
507.5187969924812,5.760374994987887e-21
508.7719298245614,5.740106315428577e-21
510.0250626566416,5.71996481495369e-21
511.2781954887218,5.69994915787475e-21
512.5313283208021,5.680058047829768e-21
513.7844611528822,5.6602902256566454e-21
515.0375939849624,5.640644467390759e-21
516.2907268170427,5.621119582379824e-21
517.5438596491229,5.601714411508903e-21
518.796992481203,5.5824278255292365e-21
520.0501253132832,5.563258723484957e-21
521.3032581453635,5.544206031231886e-21
522.5563909774436,5.525268700042952e-21
523.8095238095239,5.506445705295461e-21
525.0626566416041,5.487736045235156e-21
526.3157894736842,5.46913873981288e-21
527.5689223057644,5.450652829589298e-21
528.8220551378446,5.432277374704161e-21
530.075187969925,5.4140114539058504e-21
531.328320802005,5.395854163638125e-21
532.5814536340852,5.377804617180459e-21
533.8345864661655,5.359861943839025e-21
535.0877192982456,5.3420252881852835e-21
536.3408521303259,5.324293809339447e-21
537.5939849624061,5.306666680296173e-21
538.8471177944862,5.289143087290069e-21
540.1002506265664,5.271722229198608e-21
541.3533834586466,5.2544033169804014e-21
542.606516290727,5.237185573146629e-21
543.859649122807,5.220068231263725e-21
545.1127819548872,5.2030505354855854e-21
546.3659147869676,5.186131740113422e-21
547.6190476190476,5.169311109181768e-21
548.8721804511279,5.152587916068961e-21
550.125313283208,5.1359614431308154e-21
551.3784461152883,5.119430981356054e-21
552.6315789473684,5.10299583004213e-21
553.8847117794486,5.0866552964904245e-21
555.137844611529,5.070408695719422e-21
556.390977443609,5.054255350195117e-21
557.6441102756892,5.038194589577267e-21
558.8972431077694,5.02222575048085e-21
560.1503759398496,5.006348176251689e-21
561.4035087719299,4.990561216755359e-21
562.65664160401,4.974864228178659e-21
563.9097744360903,4.95925657284285e-21
565.1629072681704,4.943737619028048e-21
566.4160401002506,4.928306740807854e-21
567.669172932331,4.912963317893921e-21
568.922305764411,4.8977067354896586e-21
570.1754385964912,4.882536384152424e-21
571.4285714285714,4.8674516596640646e-21
