Wavelength (nm),Condition Number
586.4661654135339,5.706443924570232e+29
587.719298245614,5.682272695509185e+29
588.9724310776943,5.658254432605011e+29
590.2255639097745,5.634387850238637e+29
591.4786967418546,5.6106716762443126e+29
592.7318295739349,5.587104651741353e+29
593.9849624060151,5.5636855309682845e+29
595.2380952380952,5.540413081119433e+29
596.4912280701755,5.517286082183848e+29
597.7443609022557,5.494303326786596e+29
598.9974937343359,5.4714636200322764e+29
600.250626566416,5.448765779350875e+29
601.5037593984962,5.426208634345743e+29
602.7568922305766,5.403791026643817e+29
604.0100250626566,5.381511809747958e+29
605.2631578947369,5.359369848891389e+29
606.5162907268171,5.337364020894237e+29
607.7694235588972,5.3154932140220744e+29
609.0225563909775,5.293756327846491e+29
610.2756892230577,5.272152273107653e+29
611.528822055138,5.2506799715787674e+29
612.781954887218,5.2293383559324865e+29
614.0350877192982,5.208126369609193e+29
615.2882205513786,5.187042966687103e+29
616.5413533834586,5.1660871117542525e+29
617.7944862155389,5.145257779782191e+29
619.0476190476192,5.1245539560015206e+29
620.3007518796992,5.103974635779122e+29
621.5538847117795,5.0835188244970845e+29
622.8070175438596,5.063185537433361e+29
624.06015037594,5.042973799644026e+29
625.31328320802,5.022882645847193e+29
626.5664160401002,5.0029111203085136e+29
627.8195488721806,4.983058276728281e+29
629.0726817042606,4.9633231781300644e+29
630.3258145363409,4.943704896750856e+29
631.578947368421,4.92420251393278e+29
632.8320802005013,4.904815120016208e+29
634.0852130325815,4.885541814234399e+29
635.3383458646616,4.8663817046095185e+29
636.591478696742,4.847333907850117e+29
637.844611528822,4.828397549249969e+29
639.0977443609022,4.8095717625882835e+29
640.3508771929826,4.7908556900312846e+29
641.6040100250626,4.772248482035109e+29
642.8571428571429,4.753749297249971e+29
644.110275689223,4.7353573024257035e+29
645.3634085213033,4.717071672318467e+29
646.6165413533835,4.698891589598784e+29
647.8696741854636,4.680816244760752e+29
649.122807017544,4.662844836032494e+29
650.375939849624,4.644976569287804e+29
651.6290726817042,4.627210657958924e+29
652.8822055137845,4.609546322950547e+29
654.1353383458647,4.5919827925548954e+29
655.3884711779449,4.574519302367952e+29
656.641604010025,4.5571550952067944e+29
657.8947368421053,4.5398894210280036e+29
659.1478696741855,4.522721536847159e+29
660.4010025062656,4.505650706659379e+29
661.6541353383459,4.488676201360917e+29
662.9072681704262,4.471797298671757e+29
664.1604010025062,4.455013283059238e+29
665.4135338345865,4.43832344566266e+29
666.6666666666667,4.421727084218888e+29
667.9197994987469,4.405223502988902e+29
669.172932330827,4.3888120126853055e+29
670.4260651629073,4.3724919304007634e+29
671.6791979949876,4.356262579537376e+29
672.9323308270676,4.340123289736963e+29
674.1854636591479,4.324073396812216e+29
675.4385964912282,4.3081122426787674e+29
676.6917293233082,4.29223917528812e+29
677.9448621553885,4.276453548561412e+29
679.1979949874687,4.26075472232406e+29
680.4511278195489,4.245142062241218e+29
681.704260651629,4.2296149397540436e+29
682.9573934837093,4.2141727320168034e+29
684.2105263157896,4.1988148218347466e+29
685.4636591478696,4.183540597602788e+29
686.7167919799499,4.1683494532449386e+29
687.9699248120302,4.153240788154527e+29
689.2230576441102,4.138214007135157e+29
690.4761904761905,4.123268520342389e+29
691.7293233082708,4.1084037432262115e+29
692.982456140351,4.093619096474149e+29
694.2355889724311,4.078914005955163e+29
695.4887218045112,4.064287902664181e+29
696.7418546365916,4.0497402226673744e+29
697.9949874686716,4.035270407048068e+29
699.2481203007519,4.0208779018533614e+29
700.5012531328322,4.006562158041377e+29
701.7543859649122,3.99232263142919e+29
703.0075187969925,3.978158782641365e+29
704.2606516290726,3.964070077059168e+29
705.513784461153,3.950055984770368e+29
706.7669172932331,3.9361159805196805e+29
708.0200501253132,3.922249543659784e+29
709.2731829573936,3.9084561581029806e+29
710.5263157894736,3.8947353122734166e+29
711.7794486215539,3.8810864990598805e+29
713.0325814536342,3.867509215769204e+29
