Wavelength (nm),Sphere 2 |a1(λ)|
500.00000000000006,0.6195204043211899
501.25313283208027,0.6126848452112368
502.5062656641605,0.6059423708186354
503.75939849624064,0.5992914373928895
505.01253132832085,0.5927305345979766
506.265664160401,0.586258184446571
507.5187969924812,0.5798729402839833
508.7719298245614,0.5735733858189426
510.0250626566416,0.567358134198458
511.2781954887218,0.5612258271242593
512.5313283208021,0.5551751340084115
513.7844611528822,0.5492047511658998
515.0375939849624,0.5433134010420663
516.2907268170427,0.5374998314729938
517.5438596491229,0.5317628149769604
518.796992481203,0.5261011480752767
520.0501253132832,0.5205136506409007
521.3032581453635,0.5149991652733158
522.5563909774436,0.5095565566982533
523.8095238095239,0.5041847111909536
525.0626566416041,0.4988825360217042
526.3157894736842,0.4936489589224991
527.5689223057644,0.48848292757370854
528.8220551378446,0.483383409109763
530.075187969925,0.4783493896428343
531.328320802005,0.4733798738036551
532.5814536340852,0.4684738842985832
533.8345864661655,0.46363046148213455
535.0877192982456,0.4588486629442146
536.3408521303259,0.45412756311133795
537.5939849624061,0.4494662528611733
538.8471177944862,0.4448638391497761
540.1002506265664,0.4403194446509143
541.3533834586466,0.43583220740694106
542.606516290727,0.43140128049066484
543.859649122807,0.42702583167773533
545.1127819548872,0.42270504312907226
546.3659147869676,0.4184381110828903
547.6190476190476,0.41422424555590803
548.8721804511279,0.4100626700533319
550.125313283208,0.4059526212872629
551.3784461152883,0.40189334890315687
552.6315789473684,0.3978841152140043
553.8847117794486,0.3939241949419288
555.137844611529,0.39001287496688214
556.390977443609,0.38614945408218054
557.6441102756892,0.38233324275658237
558.8972431077694,0.37856356290268234
560.1503759398496,0.37483974765136446
561.4035087719299,0.3711611411320845
562.65664160401,0.36752709825877417
563.9097744360903,0.36393698452115103
565.1629072681704,0.3603901757812505
566.4160401002506,0.3568860580749744
567.669172932331,0.3534240274185005
568.922305764411,0.35000348961937405
570.1754385964912,0.34662386009210805
571.4285714285714,0.3432845636781745
572.6817042606517,0.3399850344701992
573.9348370927319,0.3367247156402551
575.187969924812,0.3335030592720975
576.4411027568923,0.3303195261972324
577.6942355889724,0.3271735858346873
578.9473684210526,0.32406471603437054
580.2005012531329,0.32099240292391046
581.4536340852131,0.31795614075886924
582.7067669172932,0.31495543177623064
583.9598997493734,0.31198978605105815
585.2130325814537,0.3090587213562439
586.4661654135339,0.30616176302524745
587.719298245614,0.30329844381774707
588.9724310776943,0.3004683037881139
590.2255639097745,0.2976708901566417
591.4786967418546,0.29490575718344597
592.7318295739349,0.29217246604496716
593.9849624060151,0.28947058471300396
595.2380952380952,0.2867996878362118
596.4912280701755,0.28415935662400077
597.7443609022557,0.2815491787327757
598.9974937343359,0.2789687481544493
600.250626566416,0.2764176651071778
601.5037593984962,0.27389553592826427
602.7568922305766,0.2714019729691673
604.0100250626566,0.2689365944925758
605.2631578947369,0.26649902457148494
606.5162907268171,0.2640888929902441
607.7694235588972,0.26170583514750584
609.0225563909775,0.2593494919610535
610.2756892230577,0.2570195097744499
611.528822055138,0.2547155402654679
612.781954887218,0.2524372403562646
614.0350877192982,0.25018427212525535
615.2882205513786,0.2479563027206517
616.5413533834586,0.2457530042756258
617.7944862155389,0.24357405382506273
619.0476190476192,0.24141913322386824
620.3007518796992,0.23928792906679622
621.5538847117795,0.2371801326097611
622.8070175438596,0.23509543969261115
624.06015037594,0.2330335506633148
625.31328320802,0.23099417030355313
626.5664160401002,0.2289770077556607
627.8195488721806,0.22698177645091322
629.0726817042606,0.22500819403911626
630.3258145363409,0.22305598231947138
631.578947368421,0.22112486717269983
632.8320802005013,0.21921457849438705
634.0852130325815,0.21732485012953662
635.3383458646616,0.21545541980828956
636.591478696742,0.21360602908280932
637.844611528822,0.21177642326528767
639.0977443609022,0.2099663513670589
640.3508771929826,0.2081755660388014
641.6040100250626,0.206403823511804
642.8571428571429,0.20465088354026173
644.110275689223,0.20291650934461325
645.3634085213033,0.20120046755585838
646.6165413533835,0.199502528160874
647.8696741854636,0.19782246444867974
649.122807017544,0.19616005295765426
650.375939849624,0.19451507342367633
651.6290726817042,0.1928873087291677
652.8822055137845,0.19127654485303194
654.1353383458647,0.18968257082146106
655.3884711779449,0.18810517865960497
656.641604010025,0.1865441633440672
657.8947368421053,0.18499932275623968
659.1478696741855,0.18347045763643502
660.4010025062656,0.18195737153881456
661.6541353383459,0.18045987078709239
662.9072681704262,0.17897776443100602
664.1604010025062,0.1775108642035311
665.4135338345865,0.17605898447883192
666.6666666666667,0.17462194223093436
667.9197994987469,0.17319955699310596
669.172932330827,0.17179165081792594
670.4260651629073,0.17039804823804114
671.6791979949876,0.1690185762275911
672.9323308270676,0.1676530641642809
674.1854636591479,0.16630134379211223
675.4385964912282,0.16496324918473185
676.6917293233082,0.16363861670941168
677.9448621553885,0.16232728499163204
679.1979949874687,0.16102909488026498
680.4511278195489,0.15974388941334586
681.704260651629,0.158471513784417
682.9573934837093,0.15721181530944503
684.2105263157896,0.15596464339428243
685.4636591478696,0.15472984950268814
686.7167919799499,0.1535072871248716
687.9699248120302,0.15229681174657025
689.2230576441102,0.15109828081864113
690.4761904761905,0.14991155372715878
691.7293233082708,0.1487364917640127
692.982456140351,0.14757295809799328
694.2355889724311,0.14642081774635798
695.4887218045112,0.1452799375468673
696.7418546365916,0.14415018613028843
697.9949874686716,0.14303143389334821
699.2481203007519,0.14192355297213946
700.5012531328322,0.14082641721595968
701.7543859649122,0.1397399021615833
703.0075187969925,0.1386638850079608
704.2606516290726,0.13759824459132708
705.513784461153,0.13654286136072372
706.7669172932331,0.13549761735392107
708.0200501253132,0.13446239617373232
709.2731829573936,0.13343708296471823
710.5263157894736,0.1324215643902691
711.7794486215539,0.13141572861006356
713.0325814536342,0.13041946525789122
714.2857142857143,0.12943266541984003
715.5388471177945,0.1284552216128305
716.7919799498746,0.12748702776350945
718.045112781955,0.1265279791874769
719.2982456140351,0.12557797256884984
720.5513784461152,0.12463690594015975
721.8045112781956,0.12370467866257327
723.0576441102758,0.12278119140643119
724.3107769423559,0.12186634613209907
725.5639097744361,0.12096004607112962
726.8170426065163,0.12006219570772343
728.0701754385965,0.1191727007604903
729.3233082706766,0.11829146816449983
730.576441102757,0.11741840605362215
731.8295739348371,0.11655342374314726
733.0827067669172,0.11569643171268364
734.3358395989975,0.11484734158933078
