Wavelength,n,k
1117.1,3.53553474,0.000909189
1127.3,3.53309064,0.000843813
1137.6,3.53067659,0.000781013
1148.1,3.52829067,0.000720856
1158.9,3.52592852,0.000663258
1169.8,3.52359705,0.000608292
1181,3.52129,0.000555974
1192.3,3.51901068,0.000506267
1203.9,3.51675803,0.000459188
1215.7,3.51453131,0.000414724
1227.7,3.51233166,0.000372889
1240,3.51015827,0.000333623
1252.5,3.50801037,0.000296971
1265.3,3.50588804,0.000262879
1278.4,3.50379358,0.000231383
1291.7,3.50172508,0.000202311
1305.3,3.4996808,0.000175769
