Wavelength (nm),Dipole Moment Sphere 1 (C·m²/V),Dipole Moment Sphere 2 (C·m²/V)
562.65664160401,6.2443717055666636e-24,6.2443717055666636e-24
563.9097744360903,6.244542432414332e-24,6.244542432414332e-24
565.1629072681704,6.244712038731183e-24,6.244712038731183e-24
566.4160401002506,6.2448805342716005e-24,6.2448805342716005e-24
567.669172932331,6.245047928684387e-24,6.245047928684387e-24
568.922305764411,6.245214231514128e-24,6.245214231514128e-24
570.1754385964912,6.245379452202527e-24,6.245379452202527e-24
571.4285714285714,6.245543600089738e-24,6.245543600089738e-24
572.6817042606517,6.245706684415662e-24,6.245706684415662e-24
573.9348370927319,6.245868714321241e-24,6.245868714321241e-24
575.187969924812,6.246029698849715e-24,6.246029698849715e-24
576.4411027568923,6.246189646947873e-24,6.246189646947873e-24
577.6942355889724,6.246348567467278e-24,6.246348567467278e-24
578.9473684210526,6.246506469165479e-24,6.246506469165479e-24
580.2005012531329,6.246663360707203e-24,6.246663360707203e-24
581.4536340852131,6.246819250665532e-24,6.246819250665532e-24
582.7067669172932,6.2469741475230566e-24,6.2469741475230566e-24
583.9598997493734,6.247128059673013e-24,6.247128059673013e-24
585.2130325814537,6.2472809954204184e-24,6.2472809954204184e-24
586.4661654135339,6.247432962983165e-24,6.247432962983165e-24
587.719298245614,6.24758397049312e-24,6.24758397049312e-24
588.9724310776943,6.247734025997199e-24,6.247734025997199e-24
590.2255639097745,6.247883137458426e-24,6.247883137458426e-24
591.4786967418546,6.248031312756971e-24,6.248031312756971e-24
592.7318295739349,6.248178559691194e-24,6.248178559691194e-24
593.9849624060151,6.248324885978642e-24,6.248324885978642e-24
595.2380952380952,6.2484702992570584e-24,6.2484702992570584e-24
596.4912280701755,6.2486148070853715e-24,6.2486148070853715e-24
597.7443609022557,6.248758416944658e-24,6.248758416944658e-24
598.9974937343359,6.248901136239105e-24,6.248901136239105e-24
600.250626566416,6.249042972296955e-24,6.249042972296955e-24
601.5037593984962,6.249183932371426e-24,6.249183932371426e-24
602.7568922305766,6.249324023641646e-24,6.249324023641646e-24
604.0100250626566,6.2494632532135464e-24,6.2494632532135464e-24
605.2631578947369,6.249601628120745e-24,6.249601628120745e-24
606.5162907268171,6.249739155325445e-24,6.249739155325445e-24
607.7694235588972,6.249875841719285e-24,6.249875841719285e-24
609.0225563909775,6.2500116941242e-24,6.2500116941242e-24
610.2756892230577,6.250146719293258e-24,6.250146719293258e-24
611.528822055138,6.250280923911503e-24,6.250280923911503e-24
612.781954887218,6.2504143145967526e-24,6.2504143145967526e-24
614.0350877192982,6.2505468979004276e-24,6.2505468979004276e-24
615.2882205513786,6.2506786803083306e-24,6.2506786803083306e-24
616.5413533834586,6.2508096682414435e-24,6.2508096682414435e-24
617.7944862155389,6.250939868056691e-24,6.250939868056691e-24
619.0476190476192,6.2510692860477124e-24,6.2510692860477124e-24
620.3007518796992,6.251197928445607e-24,6.251197928445607e-24
621.5538847117795,6.251325801419683e-24,6.251325801419683e-24
622.8070175438596,6.251452911078181e-24,6.251452911078181e-24
624.06015037594,6.25157926346901e-24,6.25157926346901e-24
625.31328320802,6.2517048645804446e-24,6.2517048645804446e-24
626.5664160401002,6.251829720341832e-24,6.251829720341832e-24
627.8195488721806,6.251953836624292e-24,6.251953836624292e-24
629.0726817042606,6.2520772192413884e-24,6.2520772192413884e-24
630.3258145363409,6.252199873949814e-24,6.252199873949814e-24
631.578947368421,6.252321806450045e-24,6.252321806450045e-24
632.8320802005013,6.252443022387005e-24,6.252443022387005e-24
634.0852130325815,6.25256352735071e-24,6.25256352735071e-24
635.3383458646616,6.2526833268769044e-24,6.2526833268769044e-24
636.591478696742,6.252802426447684e-24,6.252802426447684e-24
637.844611528822,6.252920831492139e-24,6.252920831492139e-24
639.0977443609022,6.2530385473869414e-24,6.2530385473869414e-24
640.3508771929826,6.2531555794569575e-24,6.2531555794569575e-24
641.6040100250626,6.253271932975859e-24,6.253271932975859e-24
642.8571428571429,6.253387613166686e-24,6.253387613166686e-24
644.110275689223,6.2535026252024485e-24,6.2535026252024485e-24
645.3634085213033,6.253616974206689e-24,6.253616974206689e-24
646.6165413533835,6.253730665254049e-24,6.253730665254049e-24
647.8696741854636,6.253843703370831e-24,6.253843703370831e-24
649.122807017544,6.2539560935355405e-24,6.2539560935355405e-24
650.375939849624,6.254067840679436e-24,6.254067840679436e-24
651.6290726817042,6.2541789496870624e-24,6.2541789496870624e-24
652.8822055137845,6.254289425396783e-24,6.254289425396783e-24
654.1353383458647,6.254399272601294e-24,6.254399272601294e-24
655.3884711779449,6.254508496048143e-24,6.254508496048143e-24
656.641604010025,6.254617100440246e-24,6.254617100440246e-24
657.8947368421053,6.2547250904363726e-24,6.2547250904363726e-24
659.1478696741855,6.254832470651652e-24,6.254832470651652e-24
660.4010025062656,6.254939245658057e-24,6.254939245658057e-24
661.6541353383459,6.255045419984893e-24,6.255045419984893e-24
662.9072681704262,6.2551509981192674e-24,6.2551509981192674e-24
664.1604010025062,6.255255984506557e-24,6.255255984506557e-24
665.4135338345865,6.2553603835508825e-24,6.2553603835508825e-24
666.6666666666667,6.255464199615553e-24,6.255464199615553e-24
667.9197994987469,6.2555674370235294e-24,6.2555674370235294e-24
669.172932330827,6.25567010005786e-24,6.25567010005786e-24
670.4260651629073,6.255772192962137e-24,6.255772192962137e-24
671.6791979949876,6.2558737199409035e-24,6.2558737199409035e-24
672.9323308270676,6.2559746851601165e-24,6.2559746851601165e-24
674.1854636591479,6.2560750927475406e-24,6.2560750927475406e-24
675.4385964912282,6.256174946793188e-24,6.256174946793188e-24
676.6917293233082,6.256274251349715e-24,6.256274251349715e-24
677.9448621553885,6.256373010432843e-24,6.256373010432843e-24
679.1979949874687,6.2564712280217505e-24,6.2564712280217505e-24
680.4511278195489,6.256568908059479e-24,6.256568908059479e-24
681.704260651629,6.256666054453316e-24,6.256666054453316e-24
682.9573934837093,6.256762671075193e-24,6.256762671075193e-24
684.2105263157896,6.256858761762061e-24,6.256858761762061e-24
685.4636591478696,6.256954330316267e-24,6.256954330316267e-24
