Wavelength (nm),Sphere 1 |α1(λ)|
726.8170426065163,4.981948905278247e-20
728.0701754385965,4.906508414778154e-20
729.3233082706766,4.8339379443126187e-20
730.576441102757,4.7640904088870823e-20
731.8295739348371,4.6968274559937615e-20
733.0827067669172,4.632018909241168e-20
734.3358395989975,4.569542246588648e-20
735.5889724310778,4.509282111573262e-20
736.8421052631579,4.451129855860924e-20
738.0952380952381,4.3949831114348825e-20
739.3483709273183,4.340745390744483e-20
740.6015037593985,4.288325713167214e-20
741.8546365914787,4.2376382561837435e-20
743.107769423559,4.1886020297224774e-20
744.3609022556392,4.141140572195092e-20
745.6140350877192,4.0951816668139654e-20
746.8671679197995,4.0506570768545926e-20
748.1203007518798,4.00750229859909e-20
749.3734335839599,3.9656563307695533e-20
750.6265664160401,3.9250614593317133e-20
751.8796992481203,3.8856630566183925e-20
753.1328320802006,3.847409393789667e-20
754.3859649122807,3.810251465710353e-20
755.6390977443609,3.7741428273867405e-20
756.8922305764412,3.739039441162399e-20
758.1453634085212,3.7048995339275345e-20
759.3984962406015,3.67168346364775e-20
760.6516290726819,3.639353594566711e-20
761.904761904762,3.607874180482326e-20
763.1578947368421,3.577211255538383e-20
764.4110275689223,3.5473325320132975e-20
765.6641604010026,3.5182073046245193e-20
766.9172932330828,3.489806360901111e-20
768.1704260651629,3.4621018972095366e-20
769.4235588972432,3.435067440046959e-20
770.6766917293232,3.4086777722439097e-20
771.9298245614035,3.3829088637442075e-20
773.1829573934839,3.3577378066531317e-20
774.436090225564,3.333142754267495e-20
775.6892230576441,3.309102863821146e-20
776.9423558897242,3.2855982426987305e-20
778.1954887218046,3.262609897887928e-20
779.4486215538848,3.2401196884566105e-20
780.7017543859649,3.218110280856423e-20
781.9548872180452,3.1965651068683594e-20
783.2080200501252,3.175468324018737e-20
784.4611528822055,3.154804778305828e-20
785.7142857142858,3.1345599690888735e-20
786.967418546366,3.11472001600102e-20
788.2205513784461,3.095271627757658e-20
789.4736842105262,3.076202072740217e-20
790.7268170426066,3.05749915124387e-20
791.9799498746869,3.039151169285e-20
793.2330827067669,3.021146913871482e-20
794.4862155388472,3.003475629645347e-20
795.7393483709274,2.9861269968134235e-20
796.9924812030075,2.9690911102872645e-20
798.2456140350878,2.952358459958777e-20
799.498746867168,2.935919912043022e-20
800.7518796992481,2.919766691424018e-20
802.0050125313282,2.903890364943573e-20
803.2581453634086,2.8882828255772643e-20
804.5112781954889,2.8729362774450993e-20
805.7644110275689,2.8578432216078343e-20
807.0175438596491,2.8429964426031925e-20
808.2706766917294,2.8283889956789444e-20
809.5238095238095,2.814014194682757e-20
810.7769423558898,2.7998656005710505e-20
812.03007518797,2.785937010501603e-20
813.2832080200501,2.7722224474768564e-20
814.5363408521303,2.7587161505068023e-20
815.7894736842106,2.745412565262419e-20
817.0426065162909,2.732306335192289e-20
818.295739348371,2.71939229307672e-20
819.5488721804511,2.7066654529953424e-20
820.8020050125314,2.6941210026855082e-20
822.0551378446115,2.6817542962702125e-20
823.3082706766918,2.669560847335551e-20
824.5614035087721,2.6575363223389215e-20
825.8145363408522,2.6456765343302422e-20
827.0676691729323,2.6339774369695475e-20
828.3208020050125,2.6224351188252982e-20
829.5739348370929,2.611045797938632e-20
830.827067669173,2.599805816639637e-20
832.0802005012531,2.5887116366025435e-20
833.3333333333334,2.5777598341275123e-20
834.5864661654136,2.5669470956373112e-20
835.8395989974938,2.5562702133779707e-20
837.092731829574,2.5457260813129302e-20
